model,group_key,name,support,num_gold_labels,accuracy,macro_f1,weighted_f1,corpora
frozen,corpus,eng.dep.scidtb,1902,14,0.4237644584647739,0.0778239021808949,0.276435663515752,
frozen,corpus,eng.erst.gum,3507,22,0.25748502994011974,0.08472431614471344,0.19425928341494125,
frozen,corpus,eng.pdtb.gum,1094,13,0.3016453382084095,0.12242573512756752,0.24954176833034705,
frozen,corpus,eng.rst.sts,328,17,0.2804878048780488,0.05400970763525758,0.16994265334242362,
frozen,corpus,eng.sdrt.stac,1114,11,0.5125673249551167,0.11090161975830935,0.42026870095446184,
frozen,corpus,fas.rst.prstc,592,14,0.27702702702702703,0.054713505074160805,0.18090872840053168,
frozen,corpus,fra.sdrt.annodis,621,12,0.32045088566827695,0.07564137292451781,0.238926396645681,
frozen,corpus,ita.pdtb.luna,374,11,0.15508021390374332,0.07368109549869635,0.15616094390715865,
frozen,corpus,zho.dep.scidtb,215,14,0.3581395348837209,0.06570526331358759,0.22454794006002668,
finetune,corpus,eng.dep.scidtb,1902,14,0.7886435331230284,0.5599804573986639,0.7827028004340277,
finetune,corpus,eng.erst.gum,3507,22,0.5851154833190761,0.43503740234123867,0.5756190892390344,
finetune,corpus,eng.pdtb.gum,1094,13,0.6645338208409507,0.48812244249408443,0.67241125275776,
finetune,corpus,eng.rst.sts,328,17,0.42073170731707316,0.3629176500052636,0.39362546193642917,
finetune,corpus,eng.sdrt.stac,1114,11,0.6813285457809695,0.404277964384393,0.6650477122961617,
finetune,corpus,fas.rst.prstc,592,14,0.5743243243243243,0.47603832160065707,0.5602154211403424,
finetune,corpus,fra.sdrt.annodis,621,12,0.5410628019323671,0.39306483641960344,0.5265813307029567,
finetune,corpus,ita.pdtb.luna,374,11,0.6336898395721925,0.4610104826710171,0.6262365365261415,
finetune,corpus,zho.dep.scidtb,215,14,0.7162790697674418,0.6387435981257491,0.7081666755361609,
framework_cond,corpus,eng.dep.scidtb,1902,14,0.7839116719242902,0.6237716209383668,0.7762434471971946,
framework_cond,corpus,eng.erst.gum,3507,22,0.5859709153122327,0.43463861313649105,0.5766586531675588,
framework_cond,corpus,eng.pdtb.gum,1094,13,0.6590493601462523,0.5490188232364996,0.662254823902282,
framework_cond,corpus,eng.rst.sts,328,17,0.4054878048780488,0.3255662171601847,0.3925953077172919,
framework_cond,corpus,eng.sdrt.stac,1114,11,0.6795332136445242,0.4794419298828591,0.6670836651820709,
framework_cond,corpus,fas.rst.prstc,592,14,0.543918918918919,0.4053235212089124,0.5325151593734948,
framework_cond,corpus,fra.sdrt.annodis,621,12,0.5410628019323671,0.46419539849228136,0.5246770684600158,
framework_cond,corpus,ita.pdtb.luna,374,11,0.6310160427807486,0.44275067595826556,0.6255000301932955,
framework_cond,corpus,zho.dep.scidtb,215,14,0.6930232558139535,0.6210733411312476,0.6834991655459695,
