model,group_key,name,support,num_gold_labels,accuracy,macro_f1,weighted_f1,corpora
frozen,language,eng,7945,23,0.34008810572687226,0.1147318828876663,0.26566658181839536,"eng.dep.scidtb,eng.erst.gum,eng.pdtb.gum,eng.rst.sts,eng.sdrt.stac"
frozen,language,fas,592,14,0.27702702702702703,0.054713505074160805,0.18090872840053168,fas.rst.prstc
frozen,language,fra,621,12,0.32045088566827695,0.07564137292451781,0.238926396645681,fra.sdrt.annodis
frozen,language,ita,374,11,0.15508021390374332,0.07368109549869635,0.15616094390715865,ita.pdtb.luna
frozen,language,zho,215,14,0.3581395348837209,0.06570526331358759,0.22454794006002668,zho.dep.scidtb
finetune,language,eng,7945,23,0.6514789175582127,0.4601818998098133,0.6468666697888202,"eng.dep.scidtb,eng.erst.gum,eng.pdtb.gum,eng.rst.sts,eng.sdrt.stac"
finetune,language,fas,592,14,0.5743243243243243,0.47603832160065707,0.5602154211403424,fas.rst.prstc
finetune,language,fra,621,12,0.5410628019323671,0.39306483641960344,0.5265813307029567,fra.sdrt.annodis
finetune,language,ita,374,11,0.6336898395721925,0.4610104826710171,0.6262365365261415,ita.pdtb.luna
finetune,language,zho,215,14,0.7162790697674418,0.6387435981257491,0.7081666755361609,zho.dep.scidtb
framework_cond,language,eng,7945,23,0.6490874764002518,0.45850294439429573,0.6449264860710148,"eng.dep.scidtb,eng.erst.gum,eng.pdtb.gum,eng.rst.sts,eng.sdrt.stac"
framework_cond,language,fas,592,14,0.543918918918919,0.4053235212089124,0.5325151593734948,fas.rst.prstc
framework_cond,language,fra,621,12,0.5410628019323671,0.46419539849228136,0.5246770684600158,fra.sdrt.annodis
framework_cond,language,ita,374,11,0.6310160427807486,0.44275067595826556,0.6255000301932955,ita.pdtb.luna
framework_cond,language,zho,215,14,0.6930232558139535,0.6210733411312476,0.6834991655459695,zho.dep.scidtb
